"compound_name","nM","filename","polarity"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.15255922533281,"190715_Smp_FK180310S77C1-DCM_A","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.0873706310422023,"190715_Smp_FK180310S77C1-DCM_B","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.0502509165597802,"190715_Smp_FK180310S77C1-DCM_C","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.0273577261082503,"190715_Smp_FK180310S80C1-25m_A","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.0761664701684247,"190715_Smp_FK180310S80C1-25m_B","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.0525410884123995,"190715_Smp_FK180310S80C1-25m_C","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.0378200457097632,"190715_Smp_FK180310S80C1-DCM_A","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.0840545005970338,"190715_Smp_FK180310S80C1-DCM_B","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.112212187101614,"190715_Smp_FK180310S80C1-DCM_C","neg"
"2-O-alpha-D-Glucosylglycerol",0,"190715_Std_4uMStdsMix1InH2O_1","pos"
"2-O-alpha-D-Glucosylglycerol",0,"190715_Std_4uMStdsMix1InH2O_2","pos"
"2-O-alpha-D-Glucosylglycerol",0.139895491209496,"190715_Std_4uMStdsMix1InMatrix_1","pos"
"2-O-alpha-D-Glucosylglycerol",0.0624754007513267,"190715_Std_4uMStdsMix1InMatrix_2","pos"
"2-O-alpha-D-Glucosylglycerol",0.314455957025748,"190715_Std_4uMStdsMix2InH2O_1","pos"
"2-O-alpha-D-Glucosylglycerol",0.281173168520593,"190715_Std_4uMStdsMix2InH2O_2","pos"
"2-O-alpha-D-Glucosylglycerol",0.523515124281785,"190715_Std_4uMStdsMix2InMatrix_1","pos"
"2-O-alpha-D-Glucosylglycerol",0.31847983949073,"190715_Std_4uMStdsMix2InMatrix_2","pos"
"2-O-alpha-D-Glucosylglycerol",0.131273706776103,"190715_Std_H2OinMatrix_1","pos"
"2-O-alpha-D-Glucosylglycerol",0.0707212569964126,"190715_Std_H2OinMatrix_2","pos"
"2-O-alpha-D-Glucosylglycerol",0,"170706_Blk_Blk0p2_1","pos"
"2-O-alpha-D-Glucosylglycerol",0.00205474849275664,"170706_Blk_Blk0p2_2","pos"
"2-O-alpha-D-Glucosylglycerol",0,"190715_Blk_KM1906U14-Blk_C","pos"
"2-O-alpha-D-Glucosylglycerol",0.0278268020763496,"190715_Poo_TruePooFK180310_Full1","pos"
"2-O-alpha-D-Glucosylglycerol",0.0391190125779995,"190715_Poo_TruePooFK180310_Full2","pos"
"2-O-alpha-D-Glucosylglycerol",0.0232987851150501,"190715_Poo_TruePooFK180310_Full3","pos"
"2-O-alpha-D-Glucosylglycerol",0.0366575232884559,"190715_Poo_TruePooFK180310_Half1","pos"
"2-O-alpha-D-Glucosylglycerol",0.0378555519817997,"190715_Poo_TruePooFK180310_Half2","pos"
"2-O-alpha-D-Glucosylglycerol",0.0106407644435786,"190715_Poo_TruePooFK180310_Half3","pos"
"2-O-alpha-D-Glucosylglycerol",0.0645057289949384,"190715_Smp_FK180310S62C1-25m_A","pos"
"2-O-alpha-D-Glucosylglycerol",0.0463290911380307,"190715_Smp_FK180310S62C1-25m_B","pos"
"2-O-alpha-D-Glucosylglycerol",0.0285489950326789,"190715_Smp_FK180310S62C1-25m_C","pos"
"2-O-alpha-D-Glucosylglycerol",0.00465212928636535,"190715_Smp_FK180310S62C1-DCM_A","pos"
"2-O-alpha-D-Glucosylglycerol",0.074186993119909,"190715_Smp_FK180310S62C1-DCM_B","pos"
"2-O-alpha-D-Glucosylglycerol",0.0631407088920008,"190715_Smp_FK180310S62C1-DCM_C","pos"
"2-O-alpha-D-Glucosylglycerol",0.0132607698797774,"190715_Smp_FK180310S64C1-25m_A","pos"
"2-O-alpha-D-Glucosylglycerol",0.0599275068743675,"190715_Smp_FK180310S64C1-25m_B","pos"
"2-O-alpha-D-Glucosylglycerol",0.0677417711279484,"190715_Smp_FK180310S64C1-25m_C","pos"
"2-O-alpha-D-Glucosylglycerol",0.0556995716805014,"190715_Smp_FK180310S64C1-DCM_A","pos"
"2-O-alpha-D-Glucosylglycerol",0.0583726552464593,"190715_Smp_FK180310S64C1-DCM_B","pos"
"2-O-alpha-D-Glucosylglycerol",0.0540537905366597,"190715_Smp_FK180310S64C1-DCM_C","pos"
"2-O-alpha-D-Glucosylglycerol",0.00460515621889252,"190715_Smp_FK180310S77C1-25m_A","pos"
"2-O-alpha-D-Glucosylglycerol",0.00649528350270766,"190715_Smp_FK180310S77C1-25m_B","pos"
"2-O-alpha-D-Glucosylglycerol",0.0117725711671824,"190715_Smp_FK180310S77C1-25m_C","pos"
"2-O-alpha-D-Glucosylglycerol",0.00208110799698069,"190715_Smp_FK180310S77C1-DCM_A","pos"
"2-O-alpha-D-Glucosylglycerol",0.0189272013968023,"190715_Smp_FK180310S77C1-DCM_B","pos"
"2-O-alpha-D-Glucosylglycerol",0.00796394601598673,"190715_Smp_FK180310S77C1-DCM_C","pos"
"2-O-alpha-D-Glucosylglycerol",0.00543034516720352,"190715_Smp_FK180310S80C1-25m_A","pos"
"2-O-alpha-D-Glucosylglycerol",0.0931864497244754,"190715_Smp_FK180310S80C1-25m_B","pos"
"2-O-alpha-D-Glucosylglycerol",0.063378231727066,"190715_Smp_FK180310S80C1-25m_C","pos"
"2-O-alpha-D-Glucosylglycerol",0.00779321974475902,"190715_Smp_FK180310S80C1-DCM_A","pos"
"2-O-alpha-D-Glucosylglycerol",0.0396277438270975,"190715_Smp_FK180310S80C1-DCM_B","pos"
"2-O-alpha-D-Glucosylglycerol",0.0621027046548182,"190715_Smp_FK180310S80C1-DCM_C","pos"
"4-Aminobutyric acid",0.330646301488963,"190715_Std_4uMStdsMix1InH2O_1","pos"
"4-Aminobutyric acid",0.308628726457633,"190715_Std_4uMStdsMix1InH2O_2","pos"
"4-Aminobutyric acid",0.357519577172261,"190715_Std_4uMStdsMix1InMatrix_1","pos"
"4-Aminobutyric acid",0.313736232362646,"190715_Std_4uMStdsMix1InMatrix_2","pos"
"4-Aminobutyric acid",0.00697020035816502,"190715_Std_4uMStdsMix2InH2O_1","pos"
"4-Aminobutyric acid",0.00147273937111589,"190715_Std_4uMStdsMix2InH2O_2","pos"
"4-Aminobutyric acid",0.0177085451720543,"190715_Std_4uMStdsMix2InMatrix_1","pos"
"4-Aminobutyric acid",0.0144711720776568,"190715_Std_4uMStdsMix2InMatrix_2","pos"
"4-Aminobutyric acid",0.0227110829711787,"190715_Std_H2OinMatrix_1","pos"
"4-Aminobutyric acid",0.008544726563728,"190715_Std_H2OinMatrix_2","pos"
"4-Aminobutyric acid",0.000799466441563239,"170706_Blk_Blk0p2_1","pos"
"4-Aminobutyric acid",0.00234135575716073,"170706_Blk_Blk0p2_2","pos"
"4-Aminobutyric acid",0.00100118629262886,"190715_Blk_KM1906U14-Blk_C","pos"
"4-Aminobutyric acid",0.023012036328524,"190715_Poo_TruePooFK180310_Full1","pos"
"4-Aminobutyric acid",0.0126600082194629,"190715_Poo_TruePooFK180310_Full2","pos"
"4-Aminobutyric acid",0.0205269623630432,"190715_Poo_TruePooFK180310_Full3","pos"
"4-Aminobutyric acid",0.022381311173044,"190715_Poo_TruePooFK180310_Half1","pos"
"4-Aminobutyric acid",0.0120812222837921,"190715_Poo_TruePooFK180310_Half2","pos"
"4-Aminobutyric acid",0.0323766074782395,"190715_Poo_TruePooFK180310_Half3","pos"
"4-Aminobutyric acid",0.0132592738786171,"190715_Smp_FK180310S62C1-25m_A","pos"
"4-Aminobutyric acid",0.0127264663188784,"190715_Smp_FK180310S62C1-25m_B","pos"
"4-Aminobutyric acid",0.0168132296537713,"190715_Smp_FK180310S62C1-25m_C","pos"
"4-Aminobutyric acid",0.0114152976757193,"190715_Smp_FK180310S62C1-DCM_A","pos"
"4-Aminobutyric acid",0.0276170929607793,"190715_Smp_FK180310S62C1-DCM_B","pos"
"4-Aminobutyric acid",0.0195586530563377,"190715_Smp_FK180310S62C1-DCM_C","pos"
"4-Aminobutyric acid",0.0120679246615101,"190715_Smp_FK180310S64C1-25m_A","pos"
"4-Aminobutyric acid",0.0204745383340882,"190715_Smp_FK180310S64C1-25m_B","pos"
"4-Aminobutyric acid",0.0265852851990621,"190715_Smp_FK180310S64C1-25m_C","pos"
"4-Aminobutyric acid",0.00697014726002049,"190715_Smp_FK180310S64C1-DCM_A","pos"
"4-Aminobutyric acid",0.011033838296808,"190715_Smp_FK180310S64C1-DCM_B","pos"
"4-Aminobutyric acid",0.0149466751963738,"190715_Smp_FK180310S64C1-DCM_C","pos"
"4-Aminobutyric acid",0.00889295343000902,"190715_Smp_FK180310S77C1-25m_A","pos"
"4-Aminobutyric acid",0.0302275939780976,"190715_Smp_FK180310S77C1-25m_B","pos"
"4-Aminobutyric acid",0.0326005223537182,"190715_Smp_FK180310S77C1-25m_C","pos"
"4-Aminobutyric acid",0.0289561381298162,"190715_Smp_FK180310S77C1-DCM_A","pos"
"4-Aminobutyric acid",0.0114720064940762,"190715_Smp_FK180310S77C1-DCM_B","pos"
"4-Aminobutyric acid",0.00958357790974775,"190715_Smp_FK180310S77C1-DCM_C","pos"
"4-Aminobutyric acid",0.0171748141663238,"190715_Smp_FK180310S80C1-25m_A","pos"
"4-Aminobutyric acid",0.0126489384106361,"190715_Smp_FK180310S80C1-25m_B","pos"
"4-Aminobutyric acid",0.0109836028348537,"190715_Smp_FK180310S80C1-25m_C","pos"
"4-Aminobutyric acid",0.00828640409059448,"190715_Smp_FK180310S80C1-DCM_A","pos"
"4-Aminobutyric acid",0.0110465102844306,"190715_Smp_FK180310S80C1-DCM_B","pos"
"4-Aminobutyric acid",0.0122643901048823,"190715_Smp_FK180310S80C1-DCM_C","pos"
"5-Hydroxyectoine",1.64442477793123e-05,"190715_Std_4uMStdsMix1InH2O_1","pos"
"5-Hydroxyectoine",3.68703120352491e-06,"190715_Std_4uMStdsMix1InH2O_2","pos"
"5-Hydroxyectoine",8.90370482787054e-05,"190715_Std_4uMStdsMix1InMatrix_1","pos"
"5-Hydroxyectoine",0.000105152158620089,"190715_Std_4uMStdsMix1InMatrix_2","pos"
"5-Hydroxyectoine",0.00843991564358591,"190715_Std_4uMStdsMix2InH2O_1","pos"
"5-Hydroxyectoine",0.00827072334173004,"190715_Std_4uMStdsMix2InH2O_2","pos"
"5-Hydroxyectoine",0.00852405149978229,"190715_Std_4uMStdsMix2InMatrix_1","pos"
"5-Hydroxyectoine",0.00774174710103158,"190715_Std_4uMStdsMix2InMatrix_2","pos"
"5-Hydroxyectoine",0.00017002379418477,"190715_Std_H2OinMatrix_1","pos"
"5-Hydroxyectoine",9.57748066290999e-05,"190715_Std_H2OinMatrix_2","pos"
"5-Hydroxyectoine",7.01609585552815e-07,"170706_Blk_Blk0p2_1","pos"
"5-Hydroxyectoine",4.85846430134107e-07,"170706_Blk_Blk0p2_2","pos"
"5-Hydroxyectoine",2.6779515348916e-05,"190715_Blk_KM1906U14-Blk_C","pos"
"5-Hydroxyectoine",0.000325962533168085,"190715_Poo_TruePooFK180310_Full1","pos"
"5-Hydroxyectoine",0.000322567920215701,"190715_Poo_TruePooFK180310_Full2","pos"
"5-Hydroxyectoine",0.000312103316138588,"190715_Poo_TruePooFK180310_Full3","pos"
"5-Hydroxyectoine",0.000356043558605696,"190715_Poo_TruePooFK180310_Half1","pos"
"5-Hydroxyectoine",0.00030875786441149,"190715_Poo_TruePooFK180310_Half2","pos"
"5-Hydroxyectoine",0.000382215538318679,"190715_Poo_TruePooFK180310_Half3","pos"
"5-Hydroxyectoine",0.000453185107990597,"190715_Smp_FK180310S62C1-25m_A","pos"
"5-Hydroxyectoine",0.000229211481713413,"190715_Smp_FK180310S62C1-25m_B","pos"
"5-Hydroxyectoine",0.00038230633485328,"190715_Smp_FK180310S62C1-25m_C","pos"
"5-Hydroxyectoine",0.000305328777908536,"190715_Smp_FK180310S62C1-DCM_A","pos"
"5-Hydroxyectoine",0.00115850308863743,"190715_Smp_FK180310S62C1-DCM_B","pos"
"5-Hydroxyectoine",0.000370345712205726,"190715_Smp_FK180310S62C1-DCM_C","pos"
"5-Hydroxyectoine",0.000293020870654707,"190715_Smp_FK180310S64C1-25m_A","pos"
"5-Hydroxyectoine",0.000276633613481003,"190715_Smp_FK180310S64C1-25m_B","pos"
"5-Hydroxyectoine",0.000352836122466621,"190715_Smp_FK180310S64C1-25m_C","pos"
"5-Hydroxyectoine",0.000335335211808029,"190715_Smp_FK180310S64C1-DCM_A","pos"
"5-Hydroxyectoine",0.000357295531142961,"190715_Smp_FK180310S64C1-DCM_B","pos"
"5-Hydroxyectoine",0.000403865049462641,"190715_Smp_FK180310S64C1-DCM_C","pos"
"5-Hydroxyectoine",0.000124628258063477,"190715_Smp_FK180310S77C1-25m_A","pos"
"5-Hydroxyectoine",0.000148664091498508,"190715_Smp_FK180310S77C1-25m_B","pos"
"5-Hydroxyectoine",0.000111696488791491,"190715_Smp_FK180310S77C1-25m_C","pos"
"5-Hydroxyectoine",0.00051620809940594,"190715_Smp_FK180310S77C1-DCM_A","pos"
"5-Hydroxyectoine",0.000415351296632628,"190715_Smp_FK180310S77C1-DCM_B","pos"
"5-Hydroxyectoine",0.000473392617219062,"190715_Smp_FK180310S77C1-DCM_C","pos"
"5-Hydroxyectoine",0.000109494672827418,"190715_Smp_FK180310S80C1-25m_A","pos"
"5-Hydroxyectoine",0.000235544418616088,"190715_Smp_FK180310S80C1-25m_B","pos"
"5-Hydroxyectoine",0.000255002431583999,"190715_Smp_FK180310S80C1-25m_C","pos"
"5-Hydroxyectoine",0.000162077458699677,"190715_Smp_FK180310S80C1-DCM_A","pos"
"5-Hydroxyectoine",0.000372819068073412,"190715_Smp_FK180310S80C1-DCM_B","pos"
"5-Hydroxyectoine",0.000514449584169624,"190715_Smp_FK180310S80C1-DCM_C","pos"
"5-Oxoproline",0.3573294673189,"190715_Std_4uMStdsMix1InH2O_1","neg"
"5-Oxoproline",0.332603119939164,"190715_Std_4uMStdsMix1InH2O_2","neg"
"5-Oxoproline",0.599937898218531,"190715_Std_4uMStdsMix1InMatrix_1","neg"
"5-Oxoproline",0.524084016304792,"190715_Std_4uMStdsMix1InMatrix_2","neg"
"5-Oxoproline",2.12701573363248e-05,"190715_Std_4uMStdsMix2InH2O_1","neg"
"5-Oxoproline",NA,"190715_Std_4uMStdsMix2InH2O_2","neg"
"5-Oxoproline",0.237184235882415,"190715_Std_4uMStdsMix2InMatrix_1","neg"
"5-Oxoproline",0.212542402895754,"190715_Std_4uMStdsMix2InMatrix_2","neg"
"5-Oxoproline",0.20718061001931,"190715_Std_H2OinMatrix_2","neg"
"5-Oxoproline",0.276841304504013,"190715_Std_H2OinMatrix_1","neg"
"5-Oxoproline",0.00501888236892929,"170706_Blk_Blk0p2_1","neg"
"5-Oxoproline",0.016182767638118,"170706_Blk_Blk0p2_2","neg"
"5-Oxoproline",0.058810329882763,"190715_Blk_KM1906U14-Blk_C","neg"
"5-Oxoproline",0.162357172628946,"190715_Poo_TruePooFK180310_Full1","neg"
"5-Oxoproline",0.124929564949285,"190715_Poo_TruePooFK180310_Full2","neg"
"5-Oxoproline",0.137188565684281,"190715_Poo_TruePooFK180310_Full3","neg"
"5-Oxoproline",0.153619595259486,"190715_Poo_TruePooFK180310_Half1","neg"
"5-Oxoproline",0.137932121020571,"190715_Poo_TruePooFK180310_Half2","neg"
"5-Oxoproline",0.112546754475938,"190715_Poo_TruePooFK180310_Half3","neg"
"5-Oxoproline",0.147358314289215,"190715_Smp_FK180310S62C1-25m_A","neg"
"5-Oxoproline",0.0971363730375438,"190715_Smp_FK180310S62C1-25m_B","neg"
"5-Oxoproline",0.307964495624702,"190715_Smp_FK180310S62C1-25m_C","neg"
"5-Oxoproline",0.0891816681279691,"190715_Smp_FK180310S62C1-DCM_A","neg"
"5-Oxoproline",0.199171386720112,"190715_Smp_FK180310S62C1-DCM_B","neg"
"5-Oxoproline",0.191887904093006,"190715_Smp_FK180310S62C1-DCM_C","neg"
"5-Oxoproline",0.122699842667532,"190715_Smp_FK180310S64C1-25m_A","neg"
"5-Oxoproline",0.125791274920663,"190715_Smp_FK180310S64C1-25m_B","neg"
"5-Oxoproline",0.171381846306371,"190715_Smp_FK180310S64C1-25m_C","neg"
"5-Oxoproline",0.065587219793297,"190715_Smp_FK180310S64C1-DCM_A","neg"
"5-Oxoproline",0.126619881848541,"190715_Smp_FK180310S64C1-DCM_B","neg"
"5-Oxoproline",0.112169517709391,"190715_Smp_FK180310S64C1-DCM_C","neg"
"5-Oxoproline",0.134464228760905,"190715_Smp_FK180310S77C1-25m_A","neg"
"5-Oxoproline",0.109734193585972,"190715_Smp_FK180310S77C1-25m_B","neg"
"5-Oxoproline",0.25902184907494,"190715_Smp_FK180310S77C1-25m_C","neg"
"5-Oxoproline",0.129428805759385,"190715_Smp_FK180310S77C1-DCM_A","neg"
"5-Oxoproline",0.0449884154093488,"190715_Smp_FK180310S77C1-DCM_B","neg"
"5-Oxoproline",0.153033279379819,"190715_Smp_FK180310S77C1-DCM_C","neg"
"5-Oxoproline",0.167695865969334,"190715_Smp_FK180310S80C1-25m_A","neg"
"5-Oxoproline",0.129295507933785,"190715_Smp_FK180310S80C1-25m_B","neg"
"5-Oxoproline",0.152792745115934,"190715_Smp_FK180310S80C1-25m_C","neg"
"5-Oxoproline",0.0549937050452128,"190715_Smp_FK180310S80C1-DCM_A","neg"
"5-Oxoproline",0.105165516238356,"190715_Smp_FK180310S80C1-DCM_B","neg"
"5-Oxoproline",0.171937309568742,"190715_Smp_FK180310S80C1-DCM_C","neg"
"Acetylcholine",Inf,"190715_Std_4uMStdsMix1InH2O_1","pos"
"Acetylcholine",Inf,"190715_Std_4uMStdsMix1InH2O_2","pos"
"Acetylcholine",Inf,"190715_Std_4uMStdsMix1InMatrix_1","pos"
"Acetylcholine",Inf,"190715_Std_4uMStdsMix1InMatrix_2","pos"
"Acetylcholine",Inf,"190715_Std_4uMStdsMix2InH2O_1","pos"
"Acetylcholine",Inf,"190715_Std_4uMStdsMix2InH2O_2","pos"
"Acetylcholine",Inf,"190715_Std_4uMStdsMix2InMatrix_1","pos"
"Acetylcholine",Inf,"190715_Std_4uMStdsMix2InMatrix_2","pos"
"Acetylcholine",Inf,"190715_Std_H2OinMatrix_1","pos"
"Acetylcholine",Inf,"190715_Std_H2OinMatrix_2","pos"
"Acetylcholine",Inf,"170706_Blk_Blk0p2_1","pos"
"Acetylcholine",Inf,"170706_Blk_Blk0p2_2","pos"
"Acetylcholine",5.27883168736206e-05,"190715_Blk_KM1906U14-Blk_C","pos"
"Acetylcholine",0.00253327439980043,"190715_Poo_TruePooFK180310_Full1","pos"
"Acetylcholine",0.00271563078064434,"190715_Poo_TruePooFK180310_Full2","pos"
